questionnaire_id,participant_id,condition_code,condition_order,answers_json,submitted_at
538522f5-2bd5-4764-a4f1-162e553a5e5e,P-2644CBC033,C,1,"{""engagement"": 2, ""naturalness"": 2, ""responsiveness"": 2, ""coherence"": 2, ""topic_consistency"": 2, ""willingness_continue"": 2, ""overall_satisfaction"": 2, ""emotions"": [""Confused""], ""comments"": """", ""submitted_at"": ""2026-09-20T10:54:09"", ""condition_code"": ""C"", ""condition_order"": 1, ""latin_square_sequence"": 3, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": true}",2026-09-20T10:54:09
1b642ffb-1b71-487c-a65a-963e9fcaff2a,P-2644CBC033,D,2,"{""engagement"": 2, ""naturalness"": 2, ""responsiveness"": 2, ""coherence"": 2, ""topic_consistency"": 2, ""willingness_continue"": 2, ""overall_satisfaction"": 2, ""emotions"": [""Confused""], ""comments"": """", ""submitted_at"": ""2026-09-20T11:43:49"", ""condition_code"": ""D"", ""condition_order"": 2, ""latin_square_sequence"": 3, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": false}",2026-09-20T11:43:49
cfe45fa4-c38e-4537-8fd0-020b98859e80,P-2644CBC033,B,3,"{""engagement"": 2, ""naturalness"": 2, ""responsiveness"": 2, ""coherence"": 2, ""topic_consistency"": 2, ""willingness_continue"": 2, ""overall_satisfaction"": 2, ""emotions"": [""Confused"", ""Bored"", ""Frustrated""], ""comments"": """", ""submitted_at"": ""2026-09-20T11:52:24"", ""condition_code"": ""B"", ""condition_order"": 3, ""latin_square_sequence"": 3, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}",2026-09-20T11:52:24
f561a892-ef35-47ec-8406-d02b5e70d430,P-2644CBC033,E,4,"{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Interested"", ""Engaged""], ""comments"": """", ""submitted_at"": ""2026-09-20T12:02:50"", ""condition_code"": ""E"", ""condition_order"": 4, ""latin_square_sequence"": 3, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": true}",2026-09-20T12:02:50
606a1b27-c84d-4c9f-81e5-530ccffdb168,P-2644CBC033,A,5,"{""engagement"": 3, ""naturalness"": 3, ""responsiveness"": 3, ""coherence"": 3, ""topic_consistency"": 3, ""willingness_continue"": 3, ""overall_satisfaction"": 4, ""emotions"": [""Comfortable"", ""Neutral""], ""comments"": """", ""submitted_at"": ""2026-09-20T12:10:43"", ""condition_code"": ""A"", ""condition_order"": 5, ""latin_square_sequence"": 3, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": true}",2026-09-20T12:10:43
6a4ef46e-2aa4-431f-9b38-e3636f1ec8b7,P-2644CBC033,F,6,"{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Interested"", ""Comfortable""], ""comments"": """", ""submitted_at"": ""2026-09-20T12:22:01"", ""condition_code"": ""F"", ""condition_order"": 6, ""latin_square_sequence"": 3, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}",2026-09-20T12:22:01
b5a2c515-4ce7-41ff-947c-07639662bcc7,P-2644CBC033,H,7,"{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 5, ""overall_satisfaction"": 5, ""emotions"": [""Interested"", ""Engaged"", ""Curious""], ""comments"": """", ""submitted_at"": ""2026-09-20T12:30:04"", ""condition_code"": ""H"", ""condition_order"": 7, ""latin_square_sequence"": 3, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": false}",2026-09-20T12:30:04
73336282-99e8-48a1-b8aa-a5f27df2241a,P-2644CBC033,G,8,"{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Interested"", ""Engaged"", ""Comfortable""], ""comments"": """", ""submitted_at"": ""2026-09-20T12:39:53"", ""condition_code"": ""G"", ""condition_order"": 8, ""latin_square_sequence"": 3, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": true}",2026-09-20T12:39:53
aee34bab-c324-439f-b3ae-1e959de82d70,P-2DB0DA1D0E,E,1,"{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Interested""], ""comments"": """", ""submitted_at"": ""2026-09-17T18:39:06"", ""condition_code"": ""E"", ""condition_order"": 1, ""latin_square_sequence"": 5, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": true}",2026-09-17T18:39:06
cd54343d-8a45-4df0-87c1-34bad187ca5e,P-2DB0DA1D0E,F,2,"{""engagement"": 3, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 5, ""overall_satisfaction"": 5, ""emotions"": [""Interested"", ""Engaged""], ""comments"": """", ""submitted_at"": ""2026-09-17T18:48:52"", ""condition_code"": ""F"", ""condition_order"": 2, ""latin_square_sequence"": 5, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}",2026-09-17T18:48:52
