turn_id,participant_id,created_at,speaker,text,turn_index,session_id
024cf5a4-2f47-420b-bd15-31fe5c39ed54,P-2644CBC033,2026-09-20T10:51:20,Agent,way too many cheeses here lol i’m looking at 2 online shops rn,0,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
c61eb234-395f-42f7-8351-07f1c8ea76a0,P-2644CBC033,2026-09-20T10:51:39,Human,cheedar or regato?,1,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
878c8c82-f2a9-452d-ba50-692bc03698c8,P-2644CBC033,2026-09-20T10:51:40,Agent,cheddar definitely. tbh i always go for cheddar,2,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
84bfc082-601b-4d63-b0ef-540add4ef085,P-2644CBC033,2026-09-20T10:52:01,Human,it goes with everything,3,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
154b3f8a-0901-41ce-bfae-8656b991b5f2,P-2644CBC033,2026-09-20T10:52:02,Agent,id rather a one then. makes everything taste better 🙂,4,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
df10bf5b-f875-4274-a045-7fc9614356c0,P-2644CBC033,2026-09-20T10:52:32,Human,is there difference,5,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
addc0268-da49-472b-8acf-db3ccaf2d09a,P-2644CBC033,2026-09-20T10:52:33,Agent,yeah a bit. cheddar’s got a er bite. regato’s milder imo,6,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
53316cee-aa05-4939-bbe5-4c009d99c0bc,P-2644CBC033,2026-09-20T10:53:18,Human,oh i see,7,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
d2bbdc5d-7ad0-40d5-8675-a11aeca8364d,P-2644CBC033,2026-09-20T10:53:19,Agent,exactly. i’ll stick to cheddar then. 👍,8,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
a1bfb72b-cfe3-48dc-88a9-105a8a15e84d,P-2644CBC033,2026-09-20T10:53:35,Human,good 4 u,9,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
6bfae37d-4987-4c1f-889e-9c4b1f10916b,P-2644CBC033,2026-09-20T10:53:36,Agent,haha. it’s a classic for a reason. 😊,10,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
65ef8ab2-1db7-4495-8a60-b1091717ca5c,P-2644CBC033,2026-09-20T10:53:53,Human,haha,11,00a64c26-fc04-4f39-9cd3-2f7ae316dba5
9edad1f2-b342-4ce5-8cbe-64fa0fd8d8e3,P-2644CBC033,2026-09-20T12:15:33,Agent,trying to pick some cheese at the supermarket here in greece lol <split> should i get the brand name one or the store brand?,0,04969173-57b0-46e0-80c9-6ff29d139147
93fa2a5b-b601-4214-a745-9397f51e7ba7,P-2644CBC033,2026-09-20T12:17:39,Human,are you making anything special for tonight or just shopping for the week?,1,04969173-57b0-46e0-80c9-6ff29d139147
8f878347-1cc7-459e-a4db-f72ab5514268,P-2644CBC033,2026-09-20T12:17:40,Agent,just getting stuff for the week tbh. i usually go for the store brand feta since it tastes the same,2,04969173-57b0-46e0-80c9-6ff29d139147
fb6deab7-53fb-433e-9d60-0e3112fda1ea,P-2644CBC033,2026-09-20T12:18:21,Human,"for me when it comes to feta i'm really picky, I usually ask to try some samples and then make up my mind
crazy",3,04969173-57b0-46e0-80c9-6ff29d139147
dd58a320-28e2-47b3-b344-0652b9eb6511,P-2644CBC033,2026-09-20T12:18:22,Agent,haha i wish they let us sample everything here. i just check the ingredients for any weird additives,4,04969173-57b0-46e0-80c9-6ff29d139147
439b2871-be77-4ad3-97e8-c3bed64f544b,P-2644CBC033,2026-09-20T12:19:17,Human,check also if it's goated or cheese the milk inside to decide on the calories lol,5,04969173-57b0-46e0-80c9-6ff29d139147
f54d6801-3625-4e55-a553-53278375dccd,P-2644CBC033,2026-09-20T12:19:18,Agent,id rather have goat milk anyway. it just tastes way better for feta imo,6,04969173-57b0-46e0-80c9-6ff29d139147
60eaa45d-bdc0-44bc-b4c1-bf9421ea554a,P-2644CBC033,2026-09-20T12:20:19,Human,i totally agree i want my eta to be extra tasteful and enjoy it at max level,7,04969173-57b0-46e0-80c9-6ff29d139147
17c4f358-7872-4663-b662-de39551e1005,P-2644CBC033,2026-09-20T12:20:20,Agent,definitely. i usually look for the ones that look a bit creamier too,8,04969173-57b0-46e0-80c9-6ff29d139147
e1f9129c-b6ca-4e81-8f4c-d14501cd4465,P-2644CBC033,2026-09-20T12:20:56,Human,i don't like the ones with many holes inside it reminds me of yellow cheese haha,9,04969173-57b0-46e0-80c9-6ff29d139147
1513ee49-a74f-415a-b6ce-53e1f10a86c5,P-2644CBC033,2026-09-20T12:20:57,Agent,true lol. feta should be smooth or crumbly not have holes like swiss cheese,10,04969173-57b0-46e0-80c9-6ff29d139147
94502cef-52f9-423c-b65f-8af70c5bca5a,P-2644CBC033,2026-09-20T12:21:35,Human,exactly you got my point right hah i thought i was crazy,11,04969173-57b0-46e0-80c9-6ff29d139147
cac5c385-0037-4295-b019-99e7aba2ebb0,P-2644CBC033,2026-09-20T12:34:49,Agent,my online order finally showed up way later than it said it would 😅,0,1f7346ec-536a-473c-a8e3-93814bcf208a
ed9d534e-8f48-48a8-8b65-a0007c2973b6,P-2644CBC033,2026-09-20T12:35:21,Human,"so sorry to hear that, it was the package you were anticipating for so long, right",1,1f7346ec-536a-473c-a8e3-93814bcf208a
556366e3-717d-49e9-b6e6-cb45680d633a,P-2644CBC033,2026-09-20T12:35:22,Agent,it was. i honestly just wanted it to get here on time lol,2,1f7346ec-536a-473c-a8e3-93814bcf208a
1e896cb3-a90a-4719-b9ed-2a583557020b,P-2644CBC033,2026-09-20T12:36:25,Human,"that sucks, did you fill a complain form or sth similar?",3,1f7346ec-536a-473c-a8e3-93814bcf208a
1e19b0c0-60a5-4120-a431-01e4c902193f,P-2644CBC033,2026-09-20T12:36:26,Agent,nah i didnt. it feels like too much effort for one late package,4,1f7346ec-536a-473c-a8e3-93814bcf208a
daef28dc-ffd8-4910-b6d2-e7da5256341b,P-2644CBC033,2026-09-20T12:37:03,Human,haha you can consider leaving a negative review while describing the incident,5,1f7346ec-536a-473c-a8e3-93814bcf208a
8e2ad1da-332e-414b-a727-2d404221600c,P-2644CBC033,2026-09-20T12:37:13,Agent,id rather just leave it alone if the item itself is actually fine,6,1f7346ec-536a-473c-a8e3-93814bcf208a
8222cd1a-7f89-4d41-b953-a0ae6cc503fb,P-2644CBC033,2026-09-20T12:38:04,Human,"oh yes for sure test it first to see it's not damaged.
i hope it was only due to work load of the courier agency",7,1f7346ec-536a-473c-a8e3-93814bcf208a
84965e20-9107-49a8-b785-27e9408c6f5a,P-2644CBC033,2026-09-20T12:38:05,Agent,hopefully it was just that. i just hate waiting around for delivery updates 😅,8,1f7346ec-536a-473c-a8e3-93814bcf208a
1fea5175-badf-4749-8fb8-5ad0965d31df,P-2644CBC033,2026-09-20T12:38:48,Human,i know and it's so annoying when you have already paid for delivery feees lol,9,1f7346ec-536a-473c-a8e3-93814bcf208a
b551c1ab-d293-4fbb-804c-dbd48ae275fb,P-2644CBC033,2026-09-20T12:38:49,Agent,exactly. paying for shipping and then it being late is the worst part tbh,10,1f7346ec-536a-473c-a8e3-93814bcf208a
e22abd18-03cc-46af-a342-8b29aec9254e,P-2644CBC033,2026-09-20T12:39:24,Human,it doesnt make any sense and feels kinda like a scam,11,1f7346ec-536a-473c-a8e3-93814bcf208a
d0e84dfa-7dde-4f4b-8fb2-4c5dc9bc1014,P-2644CBC033,2026-09-20T11:57:26,Agent,im at the supermarket in greece rn <split> trying to pick some cheese but theres so many brands,0,225665bf-980c-4c4a-92af-deb7fc8eb20b
6d20ec3a-1471-4ff6-85fd-fb8d54b0e9ef,P-2644CBC033,2026-09-20T11:58:33,Human,it happens to me all the time.. so many options to choose from no the counter and in the fridges,1,225665bf-980c-4c4a-92af-deb7fc8eb20b
b79ac9e6-ef6d-4003-b7eb-d62266a18bb7,P-2644CBC033,2026-09-20T11:58:35,Agent,im looking at the store brands and the name brands <split> i usually go for the name brands for feta,2,225665bf-980c-4c4a-92af-deb7fc8eb20b
988d4151-0dad-47c1-b8ee-b30165bdbaac,P-2644CBC033,2026-09-20T11:59:17,Human,agree feta cheese has a significant difference in taste when it comes to brand,3,225665bf-980c-4c4a-92af-deb7fc8eb20b
f8e2f81a-4b0b-49bd-b9bd-efb99116d114,P-2644CBC033,2026-09-20T11:59:17,Agent,tbh the store brand feta always tastes too salty for me,4,225665bf-980c-4c4a-92af-deb7fc8eb20b
0235688e-7496-4334-939e-11c839934354,P-2644CBC033,2026-09-20T11:59:43,Human,it,5,225665bf-980c-4c4a-92af-deb7fc8eb20b
045b24e3-afb3-4f29-bb85-589151ea7cf3,P-2644CBC033,2026-09-20T11:59:46,Agent,id rather spend a bit more for the better quality name brand stuff,6,225665bf-980c-4c4a-92af-deb7fc8eb20b
1e8f1b69-17ca-469e-ac9c-6b9338296e1d,P-2644CBC033,2026-09-20T11:59:58,Human,ss not so flavorful for me it lacks on ingredients,7,225665bf-980c-4c4a-92af-deb7fc8eb20b
a781b619-27fa-4549-baa6-5e650c307c48,P-2644CBC033,2026-09-20T11:59:59,Agent,the cheap ones just feel bland and watery compared to the real deal,8,225665bf-980c-4c4a-92af-deb7fc8eb20b
6cb9803c-43cc-4b54-8da4-096995618609,P-2644CBC033,2026-09-20T12:00:31,Human,i know i want to taste the cow milk in it and to avoid too salty options,9,225665bf-980c-4c4a-92af-deb7fc8eb20b
