session_id,participant_id,conversation_order,latin_square_sequence,condition_code,condition_order,conversation_within_condition,topic_id,variation_id,topic_preference,model_size,model_name,personality_context_enabled,coherence,windowed_coherence,topic_consistency,novelty,turn_balance,token_balance,question_rate,engagement_score,engagement_sensitivity_no_turn_balance
c1e130c5-19fc-4cbd-b63b-0eb7ac5efc91,P-2644CBC033,1,3,C,1,1,T6,A,low,small,google/gemma-3-4b-it,1,0.6559503078460693,0.691699130968614,0.5421332245071729,0.34404969215393066,1.0,0.4,0.16666666666666666,0.5790281685464311,0.5322535206071456
00a64c26-fc04-4f39-9cd3-2f7ae316dba5,P-2644CBC033,2,3,C,1,2,T6,C,low,small,google/gemma-3-4b-it,1,0.6753204356540333,0.7178466753526167,0.531113363802433,0.3246795643459667,1.0,0.3013698630136986,0.08333333333333333,0.5756573847297466,0.5285082052552741
61420b66-ab8c-42f6-a586-b30c56896e1b,P-2644CBC033,3,3,D,2,1,T6,C,low,small,google/gemma-3-4b-it,0,0.6160450360991738,0.6717810901728544,0.5486655682325363,0.3839549639008262,1.0,0.23170731707317074,0.25,0.5806938352909956,0.5341042614344396
8e6ecacf-bc32-4054-bd8a-89534cae4081,P-2644CBC033,4,3,D,2,2,T6,A,low,small,google/gemma-3-4b-it,0,0.6003925150090997,0.6437213908542286,0.5496209785342216,0.3996074849909002,1.0,0.2916666666666667,0.0,0.5487077253786,0.49856413930955557
743d061d-c428-40fa-83e5-c102eed04fc3,P-2644CBC033,5,3,B,3,1,T1,D,high,small,google/gemma-3-4b-it,0,0.5901399200612848,0.6729311455379833,0.578868679702282,0.40986007993871515,1.0,0.3620689655172414,0.16666666666666666,0.5760406237208482,0.5289340263564979
aa3fe7b6-131b-4615-abf3-813c0f1aad88,P-2644CBC033,6,3,B,3,2,T1,C,high,small,google/gemma-3-4b-it,0,0.6197666254910555,0.6567099961367521,0.6013356894254684,0.3802333745089444,1.0,0.5079365079365079,0.08333333333333333,0.571919132994883,0.5243545922165367
da958aac-868c-4517-9992-f10dcfb30560,P-2644CBC033,7,3,E,4,1,T1,D,high,medium,google/gemma-4-31b-it,1,0.6521750363436613,0.6909368959340182,0.6555613130331039,0.3478249636563388,1.0,0.697841726618705,0.08333333333333333,0.5928504787611238,0.5476116430679154
225665bf-980c-4c4a-92af-deb7fc8eb20b,P-2644CBC033,8,3,E,4,2,T1,C,high,medium,google/gemma-4-31b-it,1,0.6452394344589927,0.6875969171524048,0.6385477185249329,0.3547605655410073,1.0,0.8290598290598291,0.0,0.5797528705813667,0.5330587450904075
e1be14e4-b451-4f54-97c8-1ab60bb4f0fc,P-2644CBC033,9,3,A,5,1,T1,C,high,small,google/gemma-3-4b-it,1,0.6602405363863165,0.6933827020905234,0.5774029667178789,0.33975946361368353,1.0,0.44594594594594594,0.0,0.5701811874003122,0.5224235415559024
815c2075-dc37-4e60-8a68-3538421c2c1b,P-2644CBC033,10,3,A,5,2,T1,D,high,small,google/gemma-3-4b-it,1,0.6979360146956011,0.7071379802443765,0.6083112706740698,0.302063985304399,1.0,0.3125,0.0,0.5828834516532494,0.5365371685036104
