participant_id,personalization_delta,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness
P-2644CBC033,0.0017293498258699191,3.5,4.33,4.11,3.25,2.4
P-2DB0DA1D0E,0.005003634061325646,4.12,3.89,2.78,2.75,3.4
P-41FE7B6C8E,-0.009185219358539998,3.88,3.22,3.11,3.0,3.4
P-44138CFA98,-0.0014687119559808615,3.88,3.44,3.44,2.0,2.9
P-482AABB718,0.0011512811098134401,3.88,3.11,3.56,2.5,3.1
P-4CD2E82E33,-0.0017083670831088416,3.62,4.11,4.22,2.5,2.6
P-624C8AC269,-0.006021803905340795,3.62,3.22,3.33,2.88,3.0
P-645F09EEB6,0.006109778041189395,4.25,4.56,4.78,1.25,4.4
P-6742519DE7,-0.004590003914905272,4.25,3.78,3.0,2.62,3.3
P-6EEA879104,0.002430281680867563,3.75,3.78,3.0,2.12,2.7
P-9E130A1DDC,0.0037368250672111802,3.75,3.56,3.56,2.75,2.9
P-A4880A1CE2,0.0015434720073684849,3.0,3.89,3.89,2.38,2.9
P-C6EF7782E8,-0.012357037627335754,3.38,3.56,3.67,1.88,2.8
P-E83994D768,-0.006989238016081534,2.62,3.44,3.11,2.5,3.4
P-EAA9A620E2,-0.002515815853169512,2.88,3.78,3.78,3.25,2.6
P-FB0E050FB9,0.00970650412368046,2.88,3.89,3.78,2.38,3.6
