participant_id,latin_square_sequence,condition_order_json,assigned_at
P-2644CBC033,3,"[""C"", ""D"", ""B"", ""E"", ""A"", ""F"", ""H"", ""G""]",2026-09-20T10:49:15
P-2DB0DA1D0E,5,"[""E"", ""F"", ""D"", ""G"", ""C"", ""H"", ""B"", ""A""]",2026-09-17T12:39:23
P-41FE7B6C8E,7,"[""G"", ""H"", ""F"", ""A"", ""E"", ""B"", ""D"", ""C""]",2026-09-20T11:13:21
P-44138CFA98,8,"[""H"", ""A"", ""G"", ""B"", ""F"", ""C"", ""E"", ""D""]",2026-09-19T07:11:27
P-482AABB718,3,"[""C"", ""D"", ""B"", ""E"", ""A"", ""F"", ""H"", ""G""]",2026-09-15T12:44:45
P-4CD2E82E33,7,"[""G"", ""H"", ""F"", ""A"", ""E"", ""B"", ""D"", ""C""]",2026-09-15T19:35:06
P-624C8AC269,6,"[""F"", ""G"", ""E"", ""H"", ""D"", ""A"", ""C"", ""B""]",2026-09-18T09:35:49
P-645F09EEB6,2,"[""B"", ""C"", ""A"", ""D"", ""H"", ""E"", ""G"", ""F""]",2026-09-20T08:47:43
P-6742519DE7,5,"[""E"", ""F"", ""D"", ""G"", ""C"", ""H"", ""B"", ""A""]",2026-09-15T16:44:05
P-6EEA879104,4,"[""D"", ""E"", ""C"", ""F"", ""B"", ""G"", ""A"", ""H""]",2026-09-15T09:30:10
P-9E130A1DDC,1,"[""A"", ""B"", ""H"", ""C"", ""G"", ""D"", ""F"", ""E""]",2026-09-15T09:27:28
P-A4880A1CE2,4,"[""D"", ""E"", ""C"", ""F"", ""B"", ""G"", ""A"", ""H""]",2026-09-16T20:18:59
P-C6EF7782E8,1,"[""A"", ""B"", ""H"", ""C"", ""G"", ""D"", ""F"", ""E""]",2026-09-16T11:49:54
P-E83994D768,2,"[""B"", ""C"", ""A"", ""D"", ""H"", ""E"", ""G"", ""F""]",2026-09-15T07:14:28
P-EAA9A620E2,8,"[""H"", ""A"", ""G"", ""B"", ""F"", ""C"", ""E"", ""D""]",2026-09-15T07:17:31
P-FB0E050FB9,6,"[""F"", ""G"", ""E"", ""H"", ""D"", ""A"", ""C"", ""B""]",2026-09-14T13:45:13
