participant_id,access_code,created_at,updated_at,current_step,completed,used_at,last_login_at,is_active,consent_json,pre_json,big5_answers_json,big5_scores_json,most_topics_json,least_topics_json,post_json
P-0EC4BC8E27,,2026-09-14T13:34:56,2026-09-14T13:34:56,consent,0,,,,{},{},{},{},[],[],{}
P-FB0E050FB9,P-7FFB-YDNW,2026-09-14T13:35:08,2026-09-14T14:47:39,done,1,2026-09-14T13:35:36,2026-09-14T14:07:01,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""25-34"", ""gender"": ""Male"", ""education"": ""Undergraduate degree"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 5, ""message_style_one_two_words"": ""Sometimes"", ""message_style_single_sentence"": ""Rarely"", ""message_style_short_2_3_sentences"": ""Very often"", ""message_style_long_detailed"": ""Often"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Never used"", ""ai_use_specific_purpose"": ""Sometimes"", ""ai_experience_emotions"": {""insecure"": ""Rarely"", ""helpless"": ""Rarely"", ""excluded"": ""Sometimes"", ""threatened"": ""Very rarely"", ""critical"": ""Very rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Rarely"", ""bitter"": ""Rarely"", ""hurt"": ""Rarely"", ""guilty"": ""Very rarely"", ""powerless"": ""Rarely"", ""lonely"": ""Very rarely"", ""powerful"": ""Often"", ""excited"": ""Very often"", ""proud"": ""Sometimes"", ""hopeful"": ""Often"", ""startled"": ""Sometimes"", ""disapproving"": ""Rarely"", ""awful"": ""Very rarely"", ""repelled"": ""Rarely""}}","{""1"": 1, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 4, ""6"": 2, ""7"": 5, ""8"": 4, ""9"": 4, ""10"": 5, ""11"": 5, ""12"": 4, ""13"": 4, ""14"": 3, ""15"": 1, ""16"": 2, ""17"": 2, ""18"": 2, ""19"": 4, ""20"": 4, ""21"": 4, ""22"": 5, ""23"": 1, ""24"": 1, ""25"": 5, ""26"": 1, ""27"": 1, ""28"": 4, ""29"": 1, ""30"": 5, ""31"": 3, ""32"": 1, ""33"": 4, ""34"": 4, ""35"": 3, ""36"": 5, ""37"": 1, ""38"": 5, ""39"": 1, ""40"": 4, ""41"": 5, ""42"": 5, ""43"": 2, ""44"": 4}","{""Extraversion"": 2.88, ""Agreeableness"": 3.89, ""Conscientiousness"": 3.78, ""Neuroticism"": 2.38, ""Openness"": 3.6}","[""T7""]","[""T1""]","{""engagement"": 3, ""naturalness"": 2, ""responsiveness"": 4, ""coherence"": 3, ""topic_consistency"": 2, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Bored""], ""comments"": """", ""submitted_at"": ""2026-09-14T14:47:39"", ""condition_code"": ""B"", ""condition_order"": 8, ""latin_square_sequence"": 6, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}"
P-E83994D768,P-FQS6-K9FB,2026-09-14T13:35:08,2026-09-15T08:30:07,done,1,2026-09-15T07:06:09,2026-09-15T07:44:59,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""18-24"", ""gender"": ""Female"", ""education"": ""High school"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 5, ""message_style_one_two_words"": ""Very often"", ""message_style_single_sentence"": ""Often"", ""message_style_short_2_3_sentences"": ""Often"", ""message_style_long_detailed"": ""Rarely"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Never used"", ""ai_use_specific_purpose"": ""Very rarely"", ""ai_experience_emotions"": {""insecure"": ""Sometimes"", ""helpless"": ""Often"", ""excluded"": ""Sometimes"", ""threatened"": ""Very rarely"", ""critical"": ""Very rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Rarely"", ""bitter"": ""Very rarely"", ""hurt"": ""Very rarely"", ""guilty"": ""Very rarely"", ""powerless"": ""Very rarely"", ""lonely"": ""Very rarely"", ""powerful"": ""Sometimes"", ""excited"": ""Often"", ""proud"": ""Sometimes"", ""hopeful"": ""Sometimes"", ""startled"": ""Very rarely"", ""disapproving"": ""Very rarely"", ""awful"": ""Very rarely"", ""repelled"": ""Rarely""}}","{""1"": 4, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 3, ""6"": 1, ""7"": 4, ""8"": 3, ""9"": 2, ""10"": 3, ""11"": 3, ""12"": 4, ""13"": 2, ""14"": 2, ""15"": 3, ""16"": 2, ""17"": 2, ""18"": 1, ""19"": 1, ""20"": 3, ""21"": 2, ""22"": 3, ""23"": 1, ""24"": 2, ""25"": 3, ""26"": 1, ""27"": 1, ""28"": 3, ""29"": 1, ""30"": 3, ""31"": 5, ""32"": 3, ""33"": 2, ""34"": 2, ""35"": 1, ""36"": 1, ""37"": 4, ""38"": 3, ""39"": 2, ""40"": 3, ""41"": 3, ""42"": 5, ""43"": 2, ""44"": 5}","{""Extraversion"": 2.62, ""Agreeableness"": 3.44, ""Conscientiousness"": 3.11, ""Neuroticism"": 2.5, ""Openness"": 3.4}","[""T5""]","[""T2""]","{""engagement"": 5, ""naturalness"": 4, ""responsiveness"": 3, ""coherence"": 4, ""topic_consistency"": 5, ""willingness_continue"": 4, ""overall_satisfaction"": 5, ""emotions"": [""Interested""], ""comments"": """", ""submitted_at"": ""2026-09-15T08:30:07"", ""condition_code"": ""F"", ""condition_order"": 8, ""latin_square_sequence"": 2, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}"
P-EAA9A620E2,P-8GDD-R9ZZ,2026-09-14T13:35:08,2026-09-15T09:21:57,done,1,2026-09-15T07:14:19,2026-09-15T09:01:23,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""25-34"", ""gender"": ""Female"", ""education"": ""Postgraduate degree"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 5, ""message_style_one_two_words"": ""Sometimes"", ""message_style_single_sentence"": ""Sometimes"", ""message_style_short_2_3_sentences"": ""Sometimes"", ""message_style_long_detailed"": ""Sometimes"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Rarely"", ""ai_use_specific_purpose"": ""Sometimes"", ""ai_experience_emotions"": {""insecure"": ""Sometimes"", ""helpless"": ""Sometimes"", ""excluded"": ""Rarely"", ""threatened"": ""Rarely"", ""critical"": ""Rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Very rarely"", ""bitter"": ""Very rarely"", ""hurt"": ""Very rarely"", ""guilty"": ""Very rarely"", ""powerless"": ""Rarely"", ""lonely"": ""Very rarely"", ""powerful"": ""Sometimes"", ""excited"": ""Sometimes"", ""proud"": ""Sometimes"", ""hopeful"": ""Often"", ""startled"": ""Sometimes"", ""disapproving"": ""Rarely"", ""awful"": ""Rarely"", ""repelled"": ""Rarely""}}","{""1"": 3, ""2"": 2, ""3"": 4, ""4"": 2, ""5"": 3, ""6"": 2, ""7"": 2, ""8"": 3, ""9"": 3, ""10"": 4, ""11"": 3, ""12"": 2, ""13"": 3, ""14"": 4, ""15"": 3, ""16"": 3, ""17"": 3, ""18"": 2, ""19"": 5, ""20"": 3, ""21"": 4, ""22"": 4, ""23"": 3, ""24"": 4, ""25"": 1, ""26"": 3, ""27"": 1, ""28"": 4, ""29"": 3, ""30"": 2, ""31"": 4, ""32"": 4, ""33"": 4, ""34"": 4, ""35"": 4, ""36"": 3, ""37"": 2, ""38"": 5, ""39"": 5, ""40"": 3, ""41"": 3, ""42"": 4, ""43"": 2, ""44"": 2}","{""Extraversion"": 2.88, ""Agreeableness"": 3.78, ""Conscientiousness"": 3.78, ""Neuroticism"": 3.25, ""Openness"": 2.6}","[""T7""]","[""T5""]","{""engagement"": 3, ""naturalness"": 4, ""responsiveness"": 3, ""coherence"": 4, ""topic_consistency"": 3, ""willingness_continue"": 3, ""overall_satisfaction"": 3, ""emotions"": [""Neutral""], ""comments"": """", ""submitted_at"": ""2026-09-15T09:21:57"", ""condition_code"": ""D"", ""condition_order"": 8, ""latin_square_sequence"": 8, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": false}"
P-6EEA879104,P-5TCN-BEPD,2026-09-14T13:35:08,2026-09-15T10:56:43,done,1,2026-09-15T09:25:09,2026-09-15T09:49:18,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""35-44"", ""gender"": ""Male"", ""education"": ""Undergraduate degree"", ""messaging_app_use"": ""4–10 times per day"", ""text_communication_ease_1_5"": 4, ""message_style_one_two_words"": ""Sometimes"", ""message_style_single_sentence"": ""Rarely"", ""message_style_short_2_3_sentences"": ""Often"", ""message_style_long_detailed"": ""Rarely"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Never used"", ""ai_use_specific_purpose"": ""Rarely"", ""ai_experience_emotions"": {""insecure"": ""Sometimes"", ""helpless"": ""Sometimes"", ""excluded"": ""Sometimes"", ""threatened"": ""Very rarely"", ""critical"": ""Very rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Rarely"", ""bitter"": ""Sometimes"", ""hurt"": ""Rarely"", ""guilty"": ""Very rarely"", ""powerless"": ""Rarely"", ""lonely"": ""Rarely"", ""powerful"": ""Sometimes"", ""excited"": ""Often"", ""proud"": ""Sometimes"", ""hopeful"": ""Very often"", ""startled"": ""Sometimes"", ""disapproving"": ""Rarely"", ""awful"": ""Very rarely"", ""repelled"": ""Rarely""}}","{""1"": 3, ""2"": 2, ""3"": 1, ""4"": 2, ""5"": 3, ""6"": 2, ""7"": 5, ""8"": 5, ""9"": 4, ""10"": 2, ""11"": 3, ""12"": 2, ""13"": 4, ""14"": 3, ""15"": 5, ""16"": 3, ""17"": 3, ""18"": 3, ""19"": 1, ""20"": 3, ""21"": 2, ""22"": 1, ""23"": 1, ""24"": 2, ""25"": 1, ""26"": 3, ""27"": 2, ""28"": 4, ""29"": 2, ""30"": 3, ""31"": 1, ""32"": 3, ""33"": 3, ""34"": 4, ""35"": 5, ""36"": 5, ""37"": 1, ""38"": 2, ""39"": 1, ""40"": 3, ""41"": 1, ""42"": 5, ""43"": 2, ""44"": 1}","{""Extraversion"": 3.75, ""Agreeableness"": 3.78, ""Conscientiousness"": 3.0, ""Neuroticism"": 2.12, ""Openness"": 2.7}","[""T5""]","[""T7""]","{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 5, ""emotions"": [""Interested"", ""Comfortable""], ""comments"": """", ""submitted_at"": ""2026-09-15T10:56:43"", ""condition_code"": ""H"", ""condition_order"": 8, ""latin_square_sequence"": 4, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": false}"
P-9E130A1DDC,P-DECF-7UCD,2026-09-14T13:35:08,2026-09-15T15:33:11,done,1,2026-09-15T09:24:38,2026-09-17T10:29:44,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""18-24"", ""gender"": ""Male"", ""education"": ""High school"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 4, ""message_style_one_two_words"": ""Often"", ""message_style_single_sentence"": ""Often"", ""message_style_short_2_3_sentences"": ""Very often"", ""message_style_long_detailed"": ""Often"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Never used"", ""ai_use_specific_purpose"": ""Very rarely"", ""ai_experience_emotions"": {""insecure"": ""Sometimes"", ""helpless"": ""Sometimes"", ""excluded"": ""Rarely"", ""threatened"": ""Rarely"", ""critical"": ""Rarely"", ""frustrated"": ""Very rarely"", ""humiliated"": ""Very rarely"", ""bitter"": ""Very rarely"", ""hurt"": ""Very rarely"", ""guilty"": ""Very rarely"", ""powerless"": ""Sometimes"", ""lonely"": ""Very rarely"", ""powerful"": ""Sometimes"", ""excited"": ""Often"", ""proud"": ""Often"", ""hopeful"": ""Often"", ""startled"": ""Very often"", ""disapproving"": ""Sometimes"", ""awful"": ""Very rarely"", ""repelled"": ""Very rarely""}}","{""1"": 4, ""2"": 4, ""3"": 3, ""4"": 2, ""5"": 1, ""6"": 4, ""7"": 3, ""8"": 3, ""9"": 3, ""10"": 3, ""11"": 5, ""12"": 2, ""13"": 4, ""14"": 3, ""15"": 3, ""16"": 4, ""17"": 4, ""18"": 2, ""19"": 3, ""20"": 4, ""21"": 2, ""22"": 4, ""23"": 2, ""24"": 3, ""25"": 1, ""26"": 2, ""27"": 4, ""28"": 3, ""29"": 3, ""30"": 4, ""31"": 2, ""32"": 4, ""33"": 4, ""34"": 4, ""35"": 3, ""36"": 5, ""37"": 1, ""38"": 3, ""39"": 3, ""40"": 4, ""41"": 4, ""42"": 4, ""43"": 2, ""44"": 4}","{""Extraversion"": 3.75, ""Agreeableness"": 3.56, ""Conscientiousness"": 3.56, ""Neuroticism"": 2.75, ""Openness"": 2.9}","[""T8""]","[""T6""]","{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Interested"", ""Engaged""], ""comments"": """", ""submitted_at"": ""2026-09-15T15:33:11"", ""condition_code"": ""E"", ""condition_order"": 8, ""latin_square_sequence"": 1, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": true}"
P-482AABB718,P-DNH2-K8FQ,2026-09-14T13:35:08,2026-09-15T20:27:23,done,1,2026-09-15T12:40:11,2026-09-15T20:03:35,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""25-34"", ""gender"": ""Male"", ""education"": ""Undergraduate degree"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 5, ""message_style_one_two_words"": ""Rarely"", ""message_style_single_sentence"": ""Sometimes"", ""message_style_short_2_3_sentences"": ""Often"", ""message_style_long_detailed"": ""Often"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Very rarely"", ""ai_use_specific_purpose"": ""Often"", ""ai_experience_emotions"": {""insecure"": ""Very rarely"", ""helpless"": ""Very rarely"", ""excluded"": ""Rarely"", ""threatened"": ""Very rarely"", ""critical"": ""Rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Very rarely"", ""bitter"": ""Very rarely"", ""hurt"": ""Very rarely"", ""guilty"": ""Rarely"", ""powerless"": ""Rarely"", ""lonely"": ""Rarely"", ""powerful"": ""Often"", ""excited"": ""Very often"", ""proud"": ""Very often"", ""hopeful"": ""Very often"", ""startled"": ""Often"", ""disapproving"": ""Sometimes"", ""awful"": ""Very rarely"", ""repelled"": ""Very rarely""}}","{""1"": 5, ""2"": 5, ""3"": 4, ""4"": 1, ""5"": 4, ""6"": 2, ""7"": 5, ""8"": 5, ""9"": 4, ""10"": 5, ""11"": 5, ""12"": 5, ""13"": 4, ""14"": 3, ""15"": 1, ""16"": 1, ""17"": 1, ""18"": 2, ""19"": 2, ""20"": 5, ""21"": 2, ""22"": 3, ""23"": 3, ""24"": 2, ""25"": 3, ""26"": 3, ""27"": 1, ""28"": 4, ""29"": 2, ""30"": 3, ""31"": 2, ""32"": 4, ""33"": 3, ""34"": 3, ""35"": 5, ""36"": 5, ""37"": 3, ""38"": 4, ""39"": 3, ""40"": 3, ""41"": 1, ""42"": 5, ""43"": 1, ""44"": 1}","{""Extraversion"": 3.88, ""Agreeableness"": 3.11, ""Conscientiousness"": 3.56, ""Neuroticism"": 2.5, ""Openness"": 3.1}","[""T5""]","[""T4""]","{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 3, ""coherence"": 3, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 3, ""emotions"": [""Interested"", ""Confused"", ""Frustrated""], ""comments"": """", ""submitted_at"": ""2026-09-15T20:27:23"", ""condition_code"": ""G"", ""condition_order"": 8, ""latin_square_sequence"": 3, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": true}"
P-6742519DE7,P-6Y9D-MNAV,2026-09-14T13:35:08,2026-09-15T18:13:52,done,1,2026-09-15T16:32:59,2026-09-15T17:58:16,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""25-34"", ""gender"": ""Female"", ""education"": ""Postgraduate degree"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 5, ""message_style_one_two_words"": ""Sometimes"", ""message_style_single_sentence"": ""Often"", ""message_style_short_2_3_sentences"": ""Very often"", ""message_style_long_detailed"": ""Very often"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Sometimes"", ""ai_use_specific_purpose"": ""Sometimes"", ""ai_experience_emotions"": {""insecure"": ""Rarely"", ""helpless"": ""Rarely"", ""excluded"": ""Rarely"", ""threatened"": ""Rarely"", ""critical"": ""Rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Rarely"", ""bitter"": ""Rarely"", ""hurt"": ""Rarely"", ""guilty"": ""Rarely"", ""powerless"": ""Rarely"", ""lonely"": ""Rarely"", ""powerful"": ""Rarely"", ""excited"": ""Rarely"", ""proud"": ""Rarely"", ""hopeful"": ""Rarely"", ""startled"": ""Rarely"", ""disapproving"": ""Rarely"", ""awful"": ""Rarely"", ""repelled"": ""Rarely""}}","{""1"": 5, ""2"": 2, ""3"": 3, ""4"": 1, ""5"": 5, ""6"": 1, ""7"": 5, ""8"": 4, ""9"": 3, ""10"": 3, ""11"": 5, ""12"": 3, ""13"": 4, ""14"": 4, ""15"": 4, ""16"": 5, ""17"": 3, ""18"": 3, ""19"": 3, ""20"": 4, ""21"": 2, ""22"": 5, ""23"": 3, ""24"": 3, ""25"": 3, ""26"": 3, ""27"": 3, ""28"": 3, ""29"": 3, ""30"": 4, ""31"": 4, ""32"": 4, ""33"": 4, ""34"": 4, ""35"": 5, ""36"": 5, ""37"": 2, ""38"": 3, ""39"": 2, ""40"": 3, ""41"": 5, ""42"": 3, ""43"": 4, ""44"": 5}","{""Extraversion"": 4.25, ""Agreeableness"": 3.78, ""Conscientiousness"": 3.0, ""Neuroticism"": 2.62, ""Openness"": 3.3}","[""T5""]","[""T4""]","{""engagement"": 5, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 5, ""topic_consistency"": 4, ""willingness_continue"": 5, ""overall_satisfaction"": 4, ""emotions"": [""Engaged"", ""Curious"", ""Comfortable""], ""comments"": """", ""submitted_at"": ""2026-09-15T18:13:52"", ""condition_code"": ""A"", ""condition_order"": 8, ""latin_square_sequence"": 5, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": true}"
P-4CD2E82E33,P-PY2F-PB3D,2026-09-14T13:35:08,2026-09-16T11:02:31,done,1,2026-09-15T19:31:39,2026-09-16T10:43:24,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""35 +"", ""gender"": ""Male"", ""education"": ""High school"", ""messaging_app_use"": ""Less than once per day"", ""text_communication_ease_1_5"": 2, ""message_style_one_two_words"": ""Rarely"", ""message_style_single_sentence"": ""Sometimes"", ""message_style_short_2_3_sentences"": ""Sometimes"", ""message_style_long_detailed"": ""Often"", ""used_ai_before"": ""No"", ""ai_use_general_purpose"": null, ""ai_use_specific_purpose"": null, ""ai_experience_emotions"": {}}","{""1"": 3, ""2"": 3, ""3"": 4, ""4"": 2, ""5"": 2, ""6"": 4, ""7"": 5, ""8"": 2, ""9"": 2, ""10"": 4, ""11"": 3, ""12"": 2, ""13"": 4, ""14"": 2, ""15"": 4, ""16"": 4, ""17"": 5, ""18"": 1, ""19"": 5, ""20"": 2, ""21"": 1, ""22"": 5, ""23"": 1, ""24"": 4, ""25"": 1, ""26"": 4, ""27"": 2, ""28"": 4, ""29"": 2, ""30"": 2, ""31"": 1, ""32"": 2, ""33"": 4, ""34"": 5, ""35"": 4, ""36"": 3, ""37"": 1, ""38"": 4, ""39"": 2, ""40"": 2, ""41"": 2, ""42"": 4, ""43"": 2, ""44"": 3}","{""Extraversion"": 3.62, ""Agreeableness"": 4.11, ""Conscientiousness"": 4.22, ""Neuroticism"": 2.5, ""Openness"": 2.6}","[""T2""]","[""T3""]","{""engagement"": 5, ""naturalness"": 4, ""responsiveness"": 3, ""coherence"": 3, ""topic_consistency"": 3, ""willingness_continue"": 5, ""overall_satisfaction"": 4, ""emotions"": [], ""comments"": """", ""submitted_at"": ""2026-09-16T11:02:31"", ""condition_code"": ""C"", ""condition_order"": 8, ""latin_square_sequence"": 7, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": true}"
P-C6EF7782E8,P-RHUN-CQ9B,2026-09-14T13:35:08,2026-09-16T20:13:57,done,1,2026-09-16T11:03:18,2026-09-16T19:30:35,1,"{""age_confirmed"": true, ""voluntary_participation"": true, ""data_storage_agreed"": true}","{""age_group"": ""25-34"", ""gender"": ""Male"", ""education"": ""Undergraduate degree"", ""messaging_app_use"": ""More than 10 times per day"", ""text_communication_ease_1_5"": 5, ""message_style_one_two_words"": ""Rarely"", ""message_style_single_sentence"": ""Very rarely"", ""message_style_short_2_3_sentences"": ""Often"", ""message_style_long_detailed"": ""Often"", ""used_ai_before"": ""Yes"", ""ai_use_general_purpose"": ""Very rarely"", ""ai_use_specific_purpose"": ""Often"", ""ai_experience_emotions"": {""insecure"": ""Rarely"", ""helpless"": ""Very rarely"", ""excluded"": ""Very rarely"", ""threatened"": ""Very rarely"", ""critical"": ""Rarely"", ""frustrated"": ""Rarely"", ""humiliated"": ""Very rarely"", ""bitter"": ""Rarely"", ""hurt"": ""Very rarely"", ""guilty"": ""Very rarely"", ""powerless"": ""Very rarely"", ""lonely"": ""Very rarely"", ""powerful"": ""Sometimes"", ""excited"": ""Very often"", ""proud"": ""Often"", ""hopeful"": ""Often"", ""startled"": ""Sometimes"", ""disapproving"": ""Very rarely"", ""awful"": ""Very rarely"", ""repelled"": ""Rarely""}}","{""1"": 4, ""2"": 1, ""3"": 2, ""4"": 1, ""5"": 4, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 5, ""10"": 4, ""11"": 3, ""12"": 1, ""13"": 1, ""14"": 3, ""15"": 2, ""16"": 4, ""17"": 3, ""18"": 1, ""19"": 1, ""20"": 2, ""21"": 1, ""22"": 2, ""23"": 2, ""24"": 4, ""25"": 3, ""26"": 2, ""27"": 2, ""28"": 5, ""29"": 2, ""30"": 3, ""31"": 3, ""32"": 2, ""33"": 4, ""34"": 4, ""35"": 5, ""36"": 2, ""37"": 1, ""38"": 2, ""39"": 3, ""40"": 2, ""41"": 1, ""42"": 4, ""43"": 1, ""44"": 2}","{""Extraversion"": 3.38, ""Agreeableness"": 3.56, ""Conscientiousness"": 3.67, ""Neuroticism"": 1.88, ""Openness"": 2.8}","[""T8""]","[""T7""]","{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 4, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Engaged""], ""comments"": """", ""submitted_at"": ""2026-09-16T20:13:57"", ""condition_code"": ""E"", ""condition_order"": 8, ""latin_square_sequence"": 1, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": true}"
